,,,,,,,
Código,Descripción,Costo proveedor,Precio Venta,Piezas disponibles,Proveedor,Categoria,Subcategoria
CH246,gargantilla agata azul dije cola de ballena,$89.00,$130.00,,Indi,Producto,Joyeria
CH245,gargantilla mariposas blancas,$108.00,$157.00,,Indi,Producto,Joyeria
CH244,"gargantilla rombo perlas dije abanico zirconia, perla en medio",$86.00,$125.00,,Indi,Producto,Joyeria
CH243,gargantilla cristales con dije de bota,$108.00,$157.00,,Indi,Producto,Joyeria
CH242,cadena torsal con dije gota grande rosa,$67.00,$98.00,,Indi,Producto,Joyeria
RO241,"cadena cola de rata dije charm corazon, zirconia y arbol",$91.00,$132.00,,Indi,Producto,Joyeria
CH240,cadena rectangulo con dijes de cuadros zirconia colores,$140.00,$203.00,,Indi,Producto,Joyeria
CH239,pulsera mariposas blancas,$44.00,$64.00,,Indi,Producto,Joyeria
CH238,anillo malla café,$62.00,$90.00,,Indi,Producto,Joyeria
CH237,anillo flor,$54.00,$79.00,,Indi,Producto,Joyeria
CH236,anillo sol,$54.00,$79.00,,Indi,Producto,Joyeria
RO235,anillo plata zirconias,$69.00,$101.00,,Indi,Producto,Joyeria
AC233,arracada 3 lineas interlazadas,$46.00,$67.00,,Indi,Producto,Joyeria
CH232,arete bicolor concha dorada,$79.00,$115.00,,Indi,Producto,Joyeria
CH231,arete cadena colgante con donita de agata azul,$40.00,$58.00,,Indi,Producto,Joyeria
CH230,arete cadenas colgando agata colores neutros,$40.00,$58.00,,Indi,Producto,Joyeria
AC229,"arete pinza de cangrejo, caracol colgando",$62.00,$90.00,,Indi,Producto,Joyeria
Bre01,péndulo karmak (liso),$150.00,$202.50,,íizax,Producto,Esoterico
Bre02,péndulo isis (circulitos),$150.00,$202.50,,íizax,Producto,Esoterico
Bre03,Pendulo osiris ,$150.00,$202.50,,íizax,Producto,Esoterico
Bre04,Flores de Bach Rescate,$80.00,$108.00,,íizax,Producto,Herbolaria
Bre05,FB Rescate Mascotas,$80.00,$108.00,,íizax,Producto,Herbolaria
Bre06,Brisa luz interior,$100.00,$135.00,,íizax,Producto,Herbolaria
Bre07,Brisa bendición,$100.00,$135.00,,íizax,Producto,Herbolaria
Bre08,Brisa cuatro arcangeles,$100.00,$135.00,,íizax,Producto,Herbolaria
Bre09,Brisa chakras,$100.00,$135.00,,íizax,Producto,Herbolaria
Bre10,Brisa despertar espiritual,$100.00,$135.00,,íizax,Producto,Herbolaria
Bre11,Agua florida,$100.00,$135.00,,íizax,Producto,Herbolaria
Bre12,Carbon,$40.00,$54.00,,íizax,Producto,Esoterico
Bre13,Sahumadores,$130.00,$200.20,,íizax,Producto,Esoterico
Bre14,Salvia 23 cm,$100.00,$135.00,,íizax,Producto,Esoterico
Bre15,Salvia 11 cm,$80.00,$108.00,,íizax,Producto,Esoterico
Bre16,Palo Santo,$17.00,$22.00,,íizax,Producto,Esoterico
MS01,Relajante medio cuerpo,$240.00,$400.00,,Esther Masajista,Masaje,Masajes
MS02,Relajante cuerpo completo,$330.00,$550.00,,Esther Masajista,Masaje,Masajes
MS03,Descontracturante,$330.00,$550.00,,Esther Masajista,Masaje,Masajes
MS04,Descontracturante + Ventosas,$360.00,$600.00,,Esther Masajista,Masaje,Masajes
MS05,Piedras Calientes,$360.00,$600.00,,Esther Masajista,Masaje,Masajes
MS06,Linfatico,$330.00,$550.00,,Esther Masajista,Masaje,Masajes
MS07,Masaje Rebozo,$360.00,$600.00,,Esther Masajista,Masaje,Masajes
MS08,Reflexologia Podal,$240.00,$400.00,,Esther Masajista,Masaje,Masajes
CY01,Clase Yoga Ashtanga Suelta,$200.00,$250.00,,Carla Yoga,Curso/Taller,Yoga
CY02,Clase Yoga Ashtanga 4 clases,,,,Carla Yoga,Curso/Taller,Yoga
CY03,Clase Yoga Ashtanga 8 clases,$800.00,"$1,000.00",,Carla Yoga,Curso/Taller,Yoga
RS01,Reiki Usui,,$540.00,,,Reiki,Reiki
RS02,Reiki + Vendaje Neuromuscular,,$660.00,,,Reiki,Reiki
RS03,Reiki + Homeopatia,,$660.00,,,Reiki,Reiki
RS04,Acupuntura Tibetana,,$480.00,,,Reiki,Reiki
RS05,Bioquantum,,$540.00,,,Reiki,Reiki
RS06,Registros Akashicos,,$636.00,,,Reiki,Reiki
RS07,Flores de Bach,,$450.00,,,Reiki,Reiki
RS08,Pendulo (Radistecia),,$770.00,,,Reiki,Reiki
RS09,Medicina Elfica,,$540.00,,,Reiki,Reiki
RS10,Reiki Arboreo,,$540.00,,,Reiki,Reiki
RS11,Alineación Chakras,,$450.00,,,Reiki,Reiki
Om27,Evento,,,,Omnia,Evento,Evento
