,,,,,,,
Código,Descripción,Costo proveedor,Precio Venta,Piezas disponibles,Proveedor,Categoria,Subcategoria
CS14,Reductivo ,$225.00,$450.00,,Paula Valencia,Cosmetologia,Corporales
CS15,Reafirmante,$225.00,$450.00,,Paula Valencia,Cosmetologia,Corporales
CS16,Aplicación Mesoterapia,$100.00,$200.00,,Paula Valencia,Cosmetologia,Corporales
CS17,Anticelulitico Paq. 10 sesiones,"$1,750.00","$3,500.00",,Paula Valencia,Cosmetologia,Corporales
CS18,Reductivo Paq. 10 sesiones,"$1,750.00","$3,500.00",,Paula Valencia,Cosmetologia,Corporales
CS19,Reafirmante Paq. 10 sesiones,"$1,750.00","$3,500.00",,Paula Valencia,Cosmetologia,Corporales
CS20,Clásicas,$360.00,$450.00,,Paula Valencia,Cosmetologia,Pestañas
CS21,Hibridas,$440.00,$550.00,,Paula Valencia,Cosmetologia,Pestañas
CS22,Volumen ,$520.00,$650.00,,Paula Valencia,Cosmetologia,Pestañas
CS23,"Volumen Griego, Tecnologico, hawaiano",$520.00,$650.00,,Paula Valencia,Cosmetologia,Pestañas
CS24,Efecto Wispie,$440.00,$550.00,,Paula Valencia,Cosmetologia,Pestañas
CS25,Retoque Clásicas,$280.00,$350.00,,Paula Valencia,Cosmetologia,Pestañas
CS26,Retoque Hibridas,$360.00,$450.00,,Paula Valencia,Cosmetologia,Pestañas
CS27,Retoque Volumen ,$440.00,$550.00,,Paula Valencia,Cosmetologia,Pestañas
CS28,"Retoque Volumen Griego, Tecnologico, hawaiano",$440.00,$550.00,,Paula Valencia,Cosmetologia,Pestañas
CS29,Retoque Efecto Wispie,$360.00,$450.00,,Paula Valencia,Cosmetologia,Pestañas
CS30,Planchado,$224.00,$280.00,,Paula Valencia,Cosmetologia,Diseños de Cejas
CS31,Planchado + Henna,$319.20,$399.00,,Paula Valencia,Cosmetologia,Diseños de Cejas
CS32,Peptonas,"$4,914.00","$7,020.00",,Paula Valencia,Cosmetologia,Peptonas
CS33,Promo Peptonas,"$4,176.90","$5,967.00",,Paula Valencia,Cosmetologia,Peptonas
CS34,Eliminación de verrugas Individual,$140.00,$200.00,,Paula Valencia,Cosmetologia,Eliminacion
CS35,Micropuntura estrías 1 sesion,$525.00,$750.00,,Paula Valencia,Cosmetologia,Eliminacion
CS36,Eliminación de verrugas Tres,$350.00,$500.00,,Paula Valencia,Cosmetologia,Eliminacion
CS37,Micropuntura estrías 3 sesiones,"$1,435.00","$2,050.00",,Paula Valencia,Cosmetologia,Eliminacion
CS38,Eliminación de verrugas Seis,$700.00,"$1,000.00",,Paula Valencia,Cosmetologia,Eliminacion
CS39,Micropuntura estrías 6 sesiones,"$2,905.00","$4,150.00",,Paula Valencia,Cosmetologia,Eliminacion
CS40,"Piernas, axila, bikini","$4,249.15","$8,498.30",,Paula Valencia,Cosmetologia,Depilacion Laser
CS41,Brasileño y axila,"$3,399.15","$6,798.30",,Paula Valencia,Cosmetologia,Depilacion Laser
CS42,"Brasileño, intergluteo, media pierna","$3,399.15","$6,798.30",,Paula Valencia,Cosmetologia,Depilacion Laser
CS43,Brazo y axila,"$3,399.15","$6,798.30",,Paula Valencia,Cosmetologia,Depilacion Laser
CS44,"Piernas, axila, brasileño","$4,249.15","$8,498.30",,Paula Valencia,Cosmetologia,Depilacion Laser
CS45,Cuerpo completo,"$5,949.15","$11,898.30",,Paula Valencia,Cosmetologia,Depilacion Laser
CS46,"Piernas, axila, bikini Des. Especial","$2,499.50","$4,999.00",,Paula Valencia,Cosmetologia,Depilacion Laser
CS47,Brasileño y axila Des. Especial,"$1,999.50","$3,999.00",,Paula Valencia,Cosmetologia,Depilacion Laser
CS48,"Brasileño, intergluteo, media pierna  Des. Especial","$1,999.50","$3,999.00",,Paula Valencia,Cosmetologia,Depilacion Laser
CS49,Brazo y axila  Des. Especial,"$1,999.50","$3,999.00",,Paula Valencia,Cosmetologia,Depilacion Laser
